espanol,wichi,fuente_wichi,chorote,fuente_chorote,nivacle,fuente_nivacle,maka,fuente_maka
pulsera,,,"paɁla, palaɁ",G1983:216,-pɑʔk͡lɑ,S2016,-palaʔ,G1999:423
quemar,hip’u,Ne2014:149,wuun (V1),G1983:34,-wutun,S2016,-eɬxuʔ,G1999:519
quemar,,,wun(V2),G1983:34,,,,
quirquincho,tʃaʔnu,Ne2014:47,ixljoɁ (V2A) ixloɁ (V2P),G1983:217,kasutsʼi,S2016,kʼolox,G1999:519
quirquincho,,,kiɬjoɁo,G1979:81,,,,
rama,,,"kaxs (V2A), ɬijek (V2P)",G1983:217,"aʔɑwse,watʼojtʃa",S2016,ɬakxiʔ,G1999:521
rana,paʔiʔ,,paji,G1983:218,paʔiʔ,S2016,paχpajeʔ,G1999:521
"ratón,roedor",ʔama,Ne2014:41,amaa,G1983:218,amʔɑ,Gu2015:24,tsʼustsʼus,G1999:521
río,tewukʷ,Ne2014:47,"tewak (V2A),tewk (V2P)",G1983:219,towɑk,Gu2015:279,haqqiʔ,G1999:525
sal,,,sifʷoniʔ,G1983:219,tsifoni,S2016,witlepinik,G1999:527
sal,,,,,napʼuk,S2016,,
semilla,tokosɬuʔ,Ne2014:212,lemtakiʔ (V2A) ɬemtikiʔ(V2P),G1983:220,tɑsex,S2016,ɬoʔ,G1999:529
sobrina,,,"ikiʔlja,isixnja",,faktʃeʔ,S2016,qaʔasi,G1999:530
sobrino,,,"iʔjxnjaʔ,isijas",,fak͡lʔa,Gu2015:110,qaʔas,G1999:530
sol,fʷala,Ne2014:51,kilaj,G1983:221,xumkuk͡laʔj,S2016,xunuʔ,G1999:530
sol,,,kiljeʔ,G1979:83,,,,
sombra,hupeɬ,Cl2008:59,impeel,G1979:83,-xpek,Gu2015:225,eneɬejaχ,G1999:531
sombra,-peɬ,Ne2014:278,"pelik (V2A), pejlik,  peli, pejli (V2P)",G1983:221,,,,
sombras,,,"pelis (V1), pejlikis (V2)",G1983:61,-xpek͡lis,Gu2015:225,,
suegra,-katela,Ne2014:194,kanteʔ,G1983:221,-kaktʼeʔ,S2016,-qewketiʔ,G1999:532
suegro,-tʃoti,Ne2014:194,"kantek, kantik",G1983:221,-kaktʼetʃ,S2016,-qewket,G1999:532
talones,,,"poʔkjol,poʔol",,pʼikʼok,S2016,,
talón,noosat,Cl2008:90,"poʔkjoʔ (V2A),poʔoʔ (V2P)",G1983:222,-pʼikʼo,S2016,-qoqʼo,G1999:535
tarde,hunaχ,Ne2014:66,noʔot,G1979:84,nuʔut,S2016,,
taza,,,,,tʼakfej,Gu2015:123,tekfii,G1999:536
tazas,,,,,tʼakfejis,Gu2015:123,tekfijits,
tierra,hunat,Ne2014:66,axnat,G1979:85,kotsxaʔt,Gu2015:69,seheʔ,G1999:537
tigre,haʼjoχ,Ne2014:53,"ajex (V2),ajeʔ (V2)",G1983:223,jiʔjɑʔx,Gu2015:312,qametenaχ,G1999:537
tigres,,,"ajees,ajes (V2P),ajexes (V2A)",G1983:56,jijxɑs,Gu2015:312,,
llegar,-aam,Cl2008:251,"-nas (V2A), naas (V2P)",G1983:206,-am,S2016,-am,G1999:487
venir,-hen,Ne2014:180,"-tal, -taɬ",G1983:225,-tɑʔɬ,Gu2015:73,-taɬ,G1999:546
viento,ʔihwokʷ,Ne2014:51,"ɬaxwu, laxwu",G1983:226,ɬawiʔm,Gu2015:114,tʼunikʼi,G1999:547
vos,am,Ne2014:335,"aʔam, am ",G1983:22,awaʔtʃa,S2016,akhaɁ,G1999:540
yacaré,aɬetax,Ne2014:197,aɬutax,G1983:227,aɬutax,S2016,najaɬenex,G1999:551
yarará,,,"aʔpax (V2A), aʔpaʔ (V2P)",G1983:227,apʼax,Gu2015:227,natsixilaχ,G1999:547
yo,ʼnɬam,Ne2014:244,jaʔam,PP2005,jiwaʔtʃa,S2016,,
zorro,mawu,Ne2014:47,jos,PP2005,joʔnis,Gu2015:170,"exenel, tsʼijaq",G1999:553
